"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","947.611938117","No"
"0x000000000000000000000000000000000000dead","8382055.00073268","No"
"0x01ebf0dd9aab1cc07582838e39c616ffc1156425","1E-09","No"
"0x024bfd2647945c0db4416545e2ea5f30c0bcf741","3E-09","No"
"0x0403f8f288bccef33a8b860a6ba87820f83535a7","304331.737166413","No"
"0x04abc26d303bf35e3bc87e3dff37ed7879fd5141","7E-09","No"
"0x0551e37d04f8039c119bca6012e3f164ee2caf7e","6E-09","No"
"0x0619e69795f342aeae596f0cbb85a08ac9453b08","70000.976821441","No"
"0x065379f0d8da4b787195c9cf47f42140b81ed1da","4E-09","No"
"0x07d3cf521fb799ef7ade65aad8d4fdf120f3bd45","4561.786042219","No"
"0x0883bdab975463f11f8c53d2bcd05f89478c92b4","566641.76641928","No"
"0x0964bad0077a1091d244c323e34000781835609b","0.659011834","No"
"0x0a04b071dc008358946a64cb83780262f45505a5","23819.434676614","No"
"0x0ace29c6d621701b1f5aae3c3fd1e8da2f0da3f9","4E-09","No"
"0x0b73941b8c5f54a3b573cb1843cf083c0fec554a","11.18861845","No"
"0x0b9c854ecb5d63e8442dcf292b9061304dbfe9b0","4884.218089405","No"
"0x0cf00be61aa0cfd39a96a833000c9113a1c34202","99749.716443304","No"
"0x0d7903487a10b97f7e37ab69279b7a758422a903","7E-09","No"
"0x0db9dc0c97734732ba007f7ff4165aaa2d659aed","3818.832611754","No"
"0x0df5ad194d49b7268b7fab0824dc60a144c6427f","4E-09","No"
"0x0e79c2146417a1235cfc8e90f7c99097950cfa5e","1088.800221206","No"
"0x0ea88615afc40e9f75c59ba979c616fc6348e949","8E-09","No"
"0x0f0f9b5e5247f0c099f3a4ef5e513e633aab97ab","58719.593634504","No"
"0x1138f7684c9bd2e57963387ab57aeaf208bbb81a","15036.473389751","No"
"0x1185ef286a18a69b2a556c843d838f4bb3592740","46542.035670019","No"
"0x11a437ca2abc4586f9da2b06310c669272acb4dd","3E-09","No"
"0x122a5603dbb58366b302f0012b45d59fe1459558","672.565948417","No"
"0x12527013cf2e154ee938189a130f6a166bdc5082","6E-09","No"
"0x1383e4d3ccf15c208e8e5c44d34e9d0cd2280323","6941.00384167","No"
"0x138941785bf37e58869c15ea6515fbecf3e14e3b","3E-09","No"
"0x15352c25cee0d2f9cc864bdb0d5daf9126c7a14d","8E-09","No"
"0x1575ad204678912382105c67342d461f6ca4f4bc","7E-09","No"
"0x15b48cb8940fd0900e438e79f35c5c24ca6e8eb5","6E-09","No"
"0x17e8af9d63a0b2e1943d31c3903c20023a1afc18","8E-09","No"
"0x181fd1a2ddd9058b802fb30492b63cfd44d18a97","1021.654409504","No"
"0x18770f26b5692a27712d09bc6b96616925aca444","76263.116764586","No"
"0x1a24c6eeb50a77bf90ae5c62c82abb7b744beae5","100.000519271","No"
"0x1ae24e00c5a386076206ca0621bbf57b014954ca","59596.192410287","No"
"0x1b58f020608ff4097a5d6090acc72da074d82457","1200.012246974","No"
"0x1b60d162e03aa30cf32b05364a760b862decb85f","80.000050172","No"
"0x1c5423c5c31229734099e7ca8bac307daffb0ad3","5E-09","No"
"0x1e02cf5df25f3a0791bd50587713ee13f407fb1e","37131.520223846","No"
"0x1f7244dd8db086ed8ef7964e3ad0d36f1f0bbae4","30319.909285205","No"
"0x200ac9a973578b3817b1eba53e2647cd3ba4cfd6","4E-09","No"
"0x20abbc7616ec59dd649992d9187b5bb20ed97349","3E-09","No"
"0x218b499b874bcff85e935aa664e412c792cadfeb","417146.492140049","No"
"0x225b968035496db063f5d0ca0ff729fca9d2e420","7E-09","No"
"0x230fed6d7971bdd0b0812e5f1022f62221bb0eae","1803.51428294","No"
"0x2432b7bb27fd3154190219d1d4c7180dc6de3478","1616.367463975","No"
"0x2443b9a386dfbafffc09101322d8bc23549c4caf","9E-09","No"
"0x2476c7f826339679dd3cfafcad72fa2ffa700b9d","7E-09","No"
"0x249c3e1d03dc342a4d1316ab8e10d3bf17ab7b2f","261485.616144267","No"
"0x24ef4078e28f16f9beb1f4b056c82873e68c513a","0.326565766","No"
"0x28e893eecd186ace1d7323a22ff6ec39612a0c7b","8E-09","No"
"0x2b10e1685ec626086e933e1470f2066cbe2194e8","1046.090011515","No"
"0x2b76c4931f7ab8a1b4b45e4440b5852ef15abf10","80349.537268797","No"
"0x2da0a30597e8da4ed9543497df381692e5fbd894","434403.22419682","No"
"0x2eab02a1cf666a0384bf2510ca1545f1fe7be970","11897.618524071","No"
